iter	Passed	Remaining
403	8798	6446
404	8817	6422
405	8846	6406
406	8883	6395
407	8908	6375
408	8934	6357
409	8962	6339
410	8993	6324
411	9014	6301
412	9051	6290
413	9105	6290
414	9132	6271
415	9162	6254
416	9188	6236
417	9220	6220
418	9250	6203
419	9281	6187
420	9313	6171
421	9346	6157
422	9376	6140
423	9402	6120
424	9438	6106
425	9466	6088
426	9493	6069
427	9514	6046
428	9536	6024
429	9553	5998
430	9574	5975
431	9593	5951
432	9610	5926
433	9634	5905
434	9658	5883
435	9681	5862
436	9704	5840
437	9724	5816
438	9746	5794
439	9768	5772
440	9791	5750
441	9809	5726
442	9837	5707
443	9863	5687
444	9896	5670
445	9933	5656
446	9967	5641
447	10002	5626
448	10023	5603
449	10049	5583
450	10080	5565
451	10101	5542
452	10128	5522
453	10144	5497
454	10168	5475
455	10187	5450
456	10208	5428
457	10232	5406
458	10258	5386
459	10280	5363
460	10298	5339
461	10315	5314
462	10338	5292
463	10358	5268
464	10380	5245
465	10404	5224
466	10427	5202
467	10456	5183
468	10479	5161
469	10500	5138
470	10519	5114
471	10538	5090
472	10560	5068
473	10579	5044
474	10601	5021
475	10623	4999
476	10643	4975
477	10674	4957
478	10696	4934
479	10720	4913
480	10743	4891
481	10774	4872
482	10798	4851
483	10823	4830
484	10845	4807
485	10873	4787
486	10898	4766
487	10918	4743
488	10938	4719
489	10956	4695
490	10977	4672
491	10996	4649
492	11018	4626
493	11043	4604
494	11066	4583
495	11086	4559
496	11109	4537
497	11129	4514
498	11156	4493
499	11176	4470
500	11198	4448
501	11218	4424
502	11247	4405
503	11267	4381
504	11287	4358
505	11308	4335
506	11327	4312
507	11352	4290
508	11370	4266
509	11390	4243
510	11413	4221
511	11445	4202
512	11464	4179
513	11486	4156
514	11505	4133
515	11528	4111
516	11550	4088
517	11570	4065
518	11587	4041
519	11613	4020
520	11642	3999
521	11662	3976
522	11684	3954
523	11703	3931
524	11722	3907
525	11742	3884
526	11766	3862
