iter	Logloss
0	0.6309316827
1	0.5822695405
2	0.5373310474
3	0.4999588213
4	0.4686172852
5	0.440559214
6	0.4166643323
7	0.3969917199
8	0.3792148172
9	0.3637811119
10	0.350024626
11	0.3382336383
12	0.3283795249
13	0.3191559746
14	0.3113609501
15	0.3043255178
16	0.2981916044
17	0.2928005753
18	0.2882851709
19	0.2843015138
20	0.2802858789
21	0.2765594737
22	0.2737708619
23	0.2709016051
24	0.2681260044
25	0.2654666129
26	0.2640083043
27	0.2618926826
28	0.2604424985
29	0.2587961612
30	0.2575587526
31	0.2560039301
32	0.2550827413
33	0.2541789834
34	0.2531160574
35	0.2522431547
36	0.2510831575
37	0.2501039152
38	0.2495180335
39	0.2488552784
40	0.248016243
41	0.2472942262
42	0.2469709768
43	0.246218272
44	0.2455249905
45	0.2450767317
46	0.2447098754
47	0.2441838642
48	0.2436448114
49	0.2432270605
50	0.2427520259
51	0.2424192733
52	0.2420064387
53	0.2414974073
54	0.2410822208
55	0.2407945277
56	0.2405960587
57	0.2402548607
58	0.2399603141
59	0.2396892213
60	0.2394217751
61	0.2391339973
62	0.2389248381
63	0.2387458429
64	0.2383825845
65	0.238237814
66	0.2380160959
67	0.237829279
68	0.2375666697
69	0.2373017848
70	0.2371622706
71	0.2370117309
72	0.2367233939
73	0.236689016
74	0.2364906999
75	0.2363297014
76	0.2362218139
77	0.2361104559
78	0.235989062
79	0.2358553876
80	0.2356985446
81	0.2355397923
82	0.2354843308
83	0.2352794437
84	0.2352742985
85	0.2352051777
86	0.2350943987
87	0.2349079295
88	0.2349077888
89	0.2347745403
90	0.2346161432
91	0.2344166793
92	0.2343179481
93	0.234241687
94	0.2340608854
95	0.2340233894
96	0.2339219123
97	0.2338787165
98	0.2338057119
99	0.2337946972
100	0.23374324
101	0.2336892593
102	0.233636963
103	0.2334528735
104	0.2332737734
105	0.2332502025
106	0.2331547837
107	0.2330681118
108	0.2330408015
109	0.2328883893
110	0.2327285988
111	0.232524462
112	0.2325092741
113	0.2324279507
114	0.2323437335
115	0.2322878202
116	0.2321956159
117	0.2320508681
118	0.231936064
119	0.231934999
120	0.2318922977
121	0.2317884451
122	0.2316928834
123	0.2315955265
124	0.2315439611
125	0.2315438826
126	0.2315031318
127	0.2315031313
128	0.2314293687
129	0.2313186493
130	0.2312277437
131	0.2311080603
132	0.2310415463
133	0.2309616764
134	0.2308583404
135	0.2307326139
136	0.2306777985
137	0.2305836283
138	0.2305024881
139	0.2305007643
140	0.230428037
141	0.2303774298
142	0.2303520664
143	0.2303457497
144	0.2302948754
145	0.230284589
146	0.2302825466
147	0.2302299731
148	0.2301381035
149	0.2300991649
150	0.2300108953
151	0.2299363975
152	0.2298616709
153	0.2297234497
154	0.229658657
155	0.2296252914
156	0.2295600996
157	0.2294911009
158	0.2293900772
159	0.2292960327
160	0.2292166492
161	0.2292166467
162	0.2291011171
163	0.2290920493
164	0.2290514936
165	0.228936749
166	0.2289167329
167	0.2288920634
168	0.2288636266
169	0.2288143026
170	0.228810926
171	0.2287373487
172	0.2286321474
173	0.2286248764
174	0.2285141573
175	0.2284320746
176	0.2282824197
177	0.2281444496
178	0.228068805
179	0.2280073886
180	0.2279022468
181	0.2278087511
182	0.2277055068
183	0.2276600449
184	0.2275910146
185	0.2274725903
186	0.2273279823
187	0.2272689615
188	0.2271890847
189	0.2270493851
190	0.2269091722
191	0.2267991024
192	0.2267455238
193	0.2267064877
194	0.2265560437
195	0.2264808869
196	0.2263601823
197	0.2262297664
198	0.2262128897
199	0.2260699039
200	0.2260436491
201	0.2259540363
202	0.2259374512
203	0.2258178264
204	0.2257090262
205	0.2256874218
206	0.2256086891
207	0.2254669551
208	0.2254323999
209	0.225381783
210	0.2252968985
211	0.2252871
212	0.2252847255
213	0.2252341094
214	0.2251155723
215	0.225052145
216	0.2250039464
217	0.2249392429
218	0.2248354531
219	0.2247958925
220	0.2246936829
221	0.2246596819
222	0.2245833417
223	0.224550881
224	0.2244721693
225	0.224367718
226	0.2243312841
227	0.224281458
228	0.2241348174
229	0.224096944
230	0.2240602959
231	0.2239911927
232	0.2239309828
233	0.2238073972
234	0.2237525939
235	0.2236137068
236	0.2235659736
237	0.2235183285
238	0.2234199836
239	0.2233035763
240	0.2232643473
241	0.2231962732
242	0.2230684585
243	0.2230042708
244	0.222918764
245	0.2228606206
246	0.2228009936
247	0.2226870086
248	0.2226231795
249	0.2225271755
250	0.2224721447
251	0.2224475213
252	0.2223218092
253	0.222235632
254	0.2221410435
255	0.2220716667
256	0.2220023578
257	0.2219317882
258	0.2218817275
259	0.2218076451
260	0.2217399706
261	0.2217112943
262	0.2216496347
263	0.2215630475
264	0.2214937311
265	0.221423329
266	0.221335844
267	0.2212701939
268	0.2212140679
269	0.2211153374
270	0.2210871256
271	0.2210320061
272	0.2209935345
273	0.220916917
274	0.2208765844
275	0.220814307
276	0.2207694597
277	0.2206748015
278	0.2205981203
279	0.2205134972
280	0.2204551045
281	0.2204013673
282	0.2203352215
283	0.2202852958
284	0.2202172133
285	0.2201731224
286	0.2201015275
287	0.2200569354
288	0.2199829912
289	0.2199546698
290	0.21989066
291	0.2198247443
292	0.2197592584
293	0.2196837413
294	0.219588725
295	0.2195255194
296	0.2194468739
297	0.2194351127
298	0.2193728479
299	0.219269703
300	0.2191729832
301	0.2190763806
302	0.2189455627
303	0.2188693297
304	0.2187553121
305	0.2187090715
306	0.2186123946
307	0.2184875226
308	0.2184021731
309	0.2183200115
310	0.2182283842
311	0.2182003634
312	0.2180937437
313	0.2180469716
314	0.2179810488
315	0.2179149761
316	0.2178721324
317	0.2177963069
318	0.2176823033
319	0.2176331614
320	0.2175382119
321	0.2174322724
322	0.2173160555
323	0.2172508253
324	0.2171956369
325	0.2171570177
326	0.2171204239
327	0.2170519794
328	0.2169704303
329	0.2169211927
330	0.2168586043
331	0.2167847495
332	0.2167514551
333	0.2166969599
334	0.2166915406
335	0.2166539989
336	0.21660818
337	0.2165078498
338	0.216437944
339	0.2163779848
340	0.2163126274
341	0.2162145042
342	0.2161636238
343	0.2161099033
344	0.2160672298
345	0.2160175488
346	0.2159620319
347	0.215890077
348	0.2158308381
349	0.2157319373
350	0.2156726171
351	0.2156163091
352	0.2155365055
353	0.2155188556
354	0.2154539837
355	0.2153843754
356	0.2153243331
357	0.2153127467
358	0.215256553
359	0.2151779864
360	0.2150787744
361	0.2150611302
362	0.2149990014
363	0.2149001051
364	0.2148841965
365	0.2147710057
366	0.2147306308
367	0.2146555068
368	0.2145480802
369	0.2144744855
370	0.2144313977
371	0.2144062937
372	0.2142940551
373	0.2142240436
374	0.2141929911
375	0.2141400421
376	0.2140798061
377	0.2140152827
378	0.2139447537
379	0.2139070576
380	0.2138480655
381	0.2137874369
382	0.2137477987
383	0.2136995653
384	0.2136348523
385	0.213552044
386	0.2135496612
387	0.2135087798
388	0.2134175504
389	0.2133515078
390	0.2133039133
391	0.213234558
392	0.2131503575
393	0.2131390999
394	0.2131200876
395	0.2131010146
396	0.2130401106
397	0.2130313171
398	0.2129829933
399	0.2129452492
400	0.2128928481
401	0.2128075081
402	0.2127672659
403	0.2127334097
404	0.2126240085
405	0.2125728616
406	0.2125465754
407	0.2125113625
408	0.2124709415
409	0.2124040206
410	0.212320013
411	0.2122966748
412	0.2122830273
413	0.2122265764
414	0.2122211041
415	0.2121239228
416	0.2121139314
417	0.2120788885
418	0.2120287639
419	0.2119717703
420	0.2118994779
421	0.2118460392
422	0.211760952
423	0.2116980059
424	0.2116351944
425	0.2116196006
426	0.2115927279
427	0.2115574608
428	0.2115346481
429	0.211516971
430	0.2114917678
431	0.2114631855
432	0.2114465031
433	0.2114154779
434	0.2113856755
435	0.2113328964
436	0.2112693527
437	0.2112190442
438	0.2111240583
439	0.2110852816
440	0.2110103075
441	0.2109568993
442	0.2109184637
443	0.2108782771
444	0.2107739065
445	0.2107508058
446	0.2107153097
447	0.2106534738
448	0.2105967664
449	0.2105086899
450	0.2104563078
451	0.2104336973
452	0.2103598165
453	0.2103492865
454	0.2102448786
455	0.2101882475
456	0.2101432326
457	0.2100463449
458	0.209989975
459	0.2099754669
460	0.2099580022
461	0.2099126012
462	0.2098705648
463	0.2098091588
464	0.2097594404
465	0.2096871877
466	0.2096142267
467	0.2095672144
468	0.2095019989
469	0.2094708888
470	0.2094595005
471	0.209420845
472	0.2093416274
473	0.2093276591
474	0.2092917919
475	0.2092736177
476	0.2092005981
477	0.2091411279
478	0.2090728858
479	0.2090537245
480	0.2090165223
481	0.2089841271
482	0.208904158
483	0.2087952648
484	0.2087307341
485	0.2086815364
486	0.2086105355
487	0.208556902
488	0.2084717388
489	0.2084504839
490	0.2083618426
491	0.2082955374
492	0.2082446653
493	0.2081791454
494	0.20815543
495	0.2081187367
496	0.2080812877
497	0.2080281581
498	0.2079935004
499	0.20795617
500	0.2079000688
501	0.2078689544
502	0.2077936036
503	0.2077517771
504	0.2076600571
505	0.2076267782
506	0.207516819
507	0.2074790185
508	0.2074206546
509	0.2073677142
510	0.2073224349
511	0.20728751
512	0.2071854218
513	0.2071391302
514	0.2071020523
515	0.2070354787
516	0.2069993649
517	0.2069551228
518	0.206886297
519	0.2068408519
520	0.2067595716
521	0.2066403586
522	0.2066062911
523	0.206566123
524	0.2064981891
525	0.2064612918
526	0.2064396493
527	0.2063740576
528	0.2063389562
529	0.2062731622
530	0.2062615928
531	0.2062213417
532	0.2061467112
533	0.2061356309
534	0.2061024248
535	0.206075329
536	0.2060680865
537	0.2060319836
538	0.2059942136
539	0.2059523195
540	0.205943199
541	0.2058900677
542	0.2058482205
543	0.2058067468
544	0.2057274822
545	0.2056966046
546	0.2056268962
547	0.2055679359
548	0.2055480414
549	0.2055085691
550	0.2055013604
551	0.2054703113
552	0.2054316604
553	0.205355302
554	0.2053193482
555	0.2052801109
556	0.2052367302
557	0.2051860543
558	0.2051482135
559	0.2050363258
560	0.2050255983
561	0.2049386749
562	0.2049233133
563	0.2048724749
564	0.2048680266
565	0.2048596935
566	0.2048258821
567	0.2047860034
568	0.2047592872
569	0.204754231
570	0.2047249004
571	0.2046554286
572	0.2045562687
573	0.2045071126
574	0.2044764057
575	0.2044559564
576	0.2043940092
577	0.2043639476
578	0.2043501548
579	0.2043108764
580	0.2042773061
581	0.2041837662
582	0.2041466174
583	0.2040709175
584	0.2040254158
585	0.2039980912
586	0.2039745038
587	0.2039194419
588	0.2038718633
589	0.2038196292
590	0.2038092175
591	0.2037350934
592	0.2037262937
593	0.2037019026
594	0.203666949
595	0.2036557774
596	0.2036079591
597	0.2035886073
598	0.2035345276
599	0.2035105288
600	0.2034501823
601	0.2034133751
602	0.2034057855
603	0.203331206
604	0.2032202218
605	0.2031787019
606	0.2031412115
607	0.2030422158
608	0.2029790771
609	0.2028835605
610	0.2028150849
611	0.2027855632
612	0.2027432667
613	0.2027266952
614	0.2027124117
615	0.2026772119
616	0.2026314247
617	0.2026111665
618	0.2025731744
619	0.2025017019
620	0.2024290989
621	0.2024210991
622	0.2023538106
623	0.2022791245
624	0.2022477008
625	0.2022205824
626	0.2021877792
627	0.2021263996
628	0.2021092848
629	0.2020788071
630	0.2020261068
631	0.2019727912
632	0.2019453607
633	0.2019185699
634	0.2018749892
635	0.2018004464
636	0.201738429
637	0.2016528345
638	0.2016435605
639	0.2016347346
640	0.20162286
641	0.2015543564
642	0.2014648818
643	0.2013937862
644	0.2013286049
645	0.2012463191
646	0.2011870635
647	0.2011378449
648	0.201071058
649	0.2010405794
650	0.2009564581
651	0.2009280439
652	0.2008949935
653	0.2008257755
654	0.2008025723
655	0.2007181602
656	0.2006348581
657	0.2005518569
658	0.200539193
659	0.2005245835
660	0.2004359814
661	0.2003856222
662	0.2003350188
663	0.2003062235
664	0.2002581523
665	0.2002029799
666	0.2001412371
667	0.2000477756
668	0.1999382806
669	0.1998352048
670	0.1997683335
671	0.1997606726
672	0.1997166819
673	0.1996540269
674	0.1996030317
675	0.1995280258
676	0.1995190483
677	0.1994251228
678	0.1993879495
679	0.1993384404
680	0.1993317619
681	0.1993234413
682	0.1992351451
683	0.1992092785
684	0.1991449603
685	0.1991290486
686	0.1991142505
687	0.1990760963
688	0.1990480083
689	0.1990365773
690	0.1990005332
691	0.1989469456
692	0.1989254304
693	0.1988831879
694	0.198850643
695	0.1988042229
696	0.1987564239
697	0.1986809018
698	0.1986287521
699	0.1985745192
