iter	Logloss
0	0.6505012909
1	0.612814813
2	0.5813072619
3	0.5550023179
4	0.5314059031
5	0.5109850555
6	0.4905313511
7	0.4738164426
8	0.4586800191
9	0.4454981207
10	0.4327664034
11	0.4218624964
12	0.413402673
13	0.4057065876
14	0.3976716235
15	0.3905399196
16	0.3840547908
17	0.3791337191
18	0.3745434065
19	0.369828416
20	0.3673721084
21	0.3634833359
22	0.3598402115
23	0.3562218608
24	0.353656737
25	0.3508940166
26	0.3487318817
27	0.3469080245
28	0.3446424164
29	0.3428666713
30	0.3414228628
31	0.3402650753
32	0.3390904414
33	0.3379285732
34	0.3368191002
35	0.33630275
36	0.3350668497
37	0.3340687952
38	0.333402909
39	0.3326763452
40	0.3315287081
41	0.3310943857
42	0.3301939886
43	0.3297637988
44	0.3287839336
45	0.3281095603
46	0.3276738908
47	0.3269951221
48	0.326288751
49	0.3258183169
50	0.3251022266
51	0.3244155071
52	0.3239207218
53	0.3235399723
54	0.3230522202
55	0.3229805315
56	0.3224858338
57	0.3223578881
58	0.3220924848
59	0.3216227246
60	0.3210822432
61	0.3208525511
62	0.3207617885
63	0.3206865034
64	0.3203097481
65	0.3200531089
66	0.3196819849
67	0.319488078
68	0.3193336148
69	0.3188023191
70	0.3183860325
71	0.3182822158
72	0.3179171254
73	0.3176292146
74	0.3173176239
75	0.3172906153
76	0.317105045
77	0.3168131567
78	0.3164152232
79	0.316203964
80	0.3159380072
81	0.3159246305
82	0.3158468708
83	0.3158246044
84	0.3156369715
85	0.3153744341
86	0.3152071796
87	0.3149359152
88	0.3149098814
89	0.3148949733
90	0.3148684226
91	0.3147133493
92	0.3146857035
93	0.3144586293
94	0.3144478233
95	0.3144024535
96	0.3142097711
97	0.3139088077
98	0.3137660867
99	0.3134306376
100	0.3131626609
101	0.3129668076
102	0.3128187286
103	0.3126219728
104	0.3123976454
105	0.3123065197
106	0.312092769
107	0.3117989283
108	0.3117816986
109	0.3117384243
110	0.3115485434
111	0.3113300358
112	0.3111401123
113	0.3108954168
114	0.3107666302
115	0.3105968616
116	0.3103316996
117	0.3102946623
118	0.310208028
119	0.3099985725
120	0.3098943047
121	0.3098339327
122	0.3098073693
123	0.3096873862
124	0.3095876092
125	0.3095577692
126	0.3094574478
127	0.3093993365
128	0.3093790657
129	0.3093107101
130	0.3092895964
131	0.3091396824
132	0.3089186615
133	0.3087761978
134	0.3086917766
135	0.3085110612
136	0.308348449
137	0.3082083198
138	0.308107989
139	0.3081079872
140	0.3080874037
141	0.3079121356
142	0.3078483409
143	0.3076831714
144	0.3075272986
145	0.3072926895
146	0.3072016817
147	0.3070439028
148	0.3069595263
149	0.3068228155
150	0.3067945615
151	0.3066574917
152	0.3066519026
153	0.3066412369
154	0.306473948
155	0.3064153385
